OBJECTID,Accident_ID,Date,Time,Street1,Distance,Measurement,Direction,Street2,StatePlaneX,StatePlaneY,Location 1
195,2.01009E+11,9/15/2010,1753,WILLIAMSBURG ROAD,25,Feet,S,MONTEBELLO CIR,11800606,3712797,"(37.514685, -77.404636)"
190,2.01009E+11,9/3/2010,1855,GERMAN SCHOOL ROAD,260,Feet,S,JAHNKE ROAD,11768257,3714171,"(37.519437, -77.516115)"
15,2.00903E+11,3/14/2009,954,1005 N 2ND ST,None,None,None,None,11791951,3725887,"(37.550905, -77.433966)"
308,2.01109E+11,9/27/2011,1953,HULL ST,None,None,None,COMMERCE ROAD,11790035,3715676,"(37.522923, -77.44097)"
401,2.01205E+11,5/10/2012,1600,CARY ST,None,None,None,COLONIAL AVE,11779301,3726165,"(37.552053, -77.477589)"
42,2.00906E+11,6/24/2009,450,MARSHALL ST,None,None,None,CEDAR ST,11795074,3720432,"(37.535827, -77.423408)"
679,2.01501E+11,1/14/2015,1747,BOULEVARD,None,None,None,CARY ST,11779699,3725994,"(37.551571, -77.476222)"
696,2.01503E+11,3/5/2015,1208,17TH ST,None,None,None,BROAD ST,11794304,3720511,"(37.536068, -77.426061)"
319,2.0111E+11,10/14/2011,952,JEFFERSON DAVIS HWY,200,Feet,E,HARWOOD ST,11788403,3708499,"(37.503263, -77.446873)"
108,2.00912E+11,12/14/2009,2135,BROAD ST,None,None,None,STAPLES MILL ROAD,11774615,3736849,"(37.581532, -77.49336)"
501,2.01305E+11,5/21/2013,1709,RIVERSIDE DR,0,Miles,E,STRATFORD ROAD,11761714,3728491,"(37.558948, -77.538171)"
486,2.01303E+11,3/24/2013,809,B700 FRANKLIN ST,None,None,None,None,11787260,3724753,"(37.547935, -77.45019)"
444,2.0121E+11,10/11/2012,1740,NORTH AVE,50,Feet,S,BROOKLAND PARK BLVD,11792224,3733380,"(37.571474, -77.432732)"
674,20141280194,12/18/2014,1105,BROAD ST,None,None,None,ALLEN AVE,11784812,3727498,"(37.555548, -77.458529)"
467,2.01301E+11,1/1/2013,2255,14TH ST,None,None,None,MAIN ST,11792601,3720305,"(37.535556, -77.431942)"
707,2.01506E+11,6/14/2015,2120,HARWOOD ST,15,Feet,W,ROSECREST AVE,11792424,3708851,"(37.504106, -77.432998)"
318,2.0111E+11,10/13/2011,2228,MOSBY ST,15,Feet,None,LITTLEPAGE ST,11796923,3723506,"(37.544211, -77.41691)"
255,2.01103E+11,3/31/2011,2155,MAIN ST,None,None,None,FOUSHEE ST,11788963,3722992,"(37.543047, -77.444384)"
98,2.00911E+11,11/23/2009,1736,MAIN ST,None,None,None,MEADOW ST,11782713,3725168,"(37.549213, -77.465857)"
613,2.01407E+11,7/18/2014,1020,RIVER ROAD,100,Feet,W,KANAWHA ROAD,11764702,3731860,"(37.568116, -77.527744)"
588,2.01403E+11,3/28/2014,2130,ROSENEATH ROAD,None,None,None,CLAY ST,11780040,3732369,"(37.569068, -77.474807)"
505,2.01306E+11,6/3/2013,1150,MAIN ST,None,None,None,18TH ST,11793858,3719355,"(37.532908, -77.427644)"
395,2.01204E+11,4/27/2012,1624,MAIN ST,30,Feet,None,17TH ST,11793604,3719545,"(37.533437, -77.428512)"
681,2.01501E+11,1/24/2015,1555,TAZEWELL ST,30,Feet,N,CHAMBERLAYNE AVE,11789412,3729492,"(37.560884, -77.442584)"
487,2.01303E+11,3/26/2013,607,COFER ROAD,200,Feet,W,JEFFERSON DAVIS HWY,11788734,3705167,"(37.494103, -77.44586)"
636,2.01409E+11,9/9/2014,1537,BROAD ST,None,None,None,HARRISON ST,11786628,3726167,"(37.551838, -77.452316)"
393,2.01204E+11,4/19/2012,1041,MEADOW ST,25,Feet,S,MAIN ST,11782713,3725168,"(37.549213, -77.465857)"
371,2.01202E+11,2/14/2012,1205,CHERRY ST,None,None,None,CUMBERLAND ST,11786509,3723008,"(37.543166, -77.452847)"
494,2.01304E+11,4/26/2013,1714,HARWOOD ST,25,Feet,W,LYNHAVEN AVE,11789505,3708598,"(37.503501, -77.44307)"
139,2.01003E+11,3/23/2010,1920,TERMINAL AVE,None,None,None,COLUMBIA ST,11789458,3701168,"(37.483098, -77.443519)"
423,2.01207E+11,7/24/2012,1113,HULL ST,None,None,None,BROAD ROCK ROAD,11783582,3710397,"(37.508622, -77.46342)"
183,2.01008E+11,8/18/2010,830,6324 POWHITE PKWY,None,None,None,None,11768726,3718682,"(37.531812, -77.514335)"
457,2.01211E+11,11/18/2012,135,3RD ST,None,None,None,GRACE ST,11790210,3723048,"(37.543163, -77.440081)"
203,2.0101E+11,10/3/2010,1957,DOVE ST,None,None,None,NORTH AVE,11792116,3730433,"(37.563384, -77.433219)"
507,2.01306E+11,6/13/2013,1415,BROAD ST,100,Feet,E,RYLAND ST,11786200,3726480,"(37.55271, -77.45378)"
223,2.01012E+11,12/5/2010,201,CARY ST,None,None,None,BOULEVARD,11779699,3725994,"(37.551571, -77.476222)"
20,2.00904E+11,4/11/2009,1946,COLORADO AVE,None,None,None,CARTER ST,11781774,3720857,"(37.537402, -77.469259)"
169,2.01007E+11,7/1/2010,2130,PARKWOOD AVE,100,Feet,E,TEMPLE ST,11783552,3723975,"(37.545911, -77.463009)"
544,2.0131E+11,10/24/2013,1807,CHAMBERLAYNE AVE,None,None,None,WESTWOOD AVE,11788289,3735761,"(37.578134, -77.446217)"
369,2.01202E+11,2/4/2012,200,MAIN ST,150,Feet,E,17TH ST,11793604,3719545,"(37.533437, -77.428512)"
280,2.01107E+11,7/16/2011,1136,BROAD ST,15,Feet,E,LOMBARDY ST,11785507,3726988,"(37.554127, -77.456151)"
691,2.01502E+11,2/23/2015,1749,CREIGHTON ROAD,200,Feet,W,NINE MILE ROAD,11801621,3722691,"(37.541824, -77.40074)"
324,2.0111E+11,10/28/2011,1914,CHAMBERLAYNE AVE,20,Feet,N,GRAHAM ROAD,11788996,3730929,"(37.564843, -77.443964)"
665,2.01411E+11,11/20/2014,1116,S CATHEDRAL ST,None,None,None,N CATHEDRAL PL,0,0,"(21.84882, -111.898764)"
484,2.01303E+11,3/16/2013,2309,MONUMENT AVE,None,None,None,MEADOW ST,11783744,3727323,"(37.5551, -77.46222)"
80,2.0091E+11,10/20/2009,1450,NORTH AVE,200,Feet,S,BROOKLAND PARK BLVD,11792224,3733380,"(37.571474, -77.432732)"
429,2.01208E+11,8/15/2012,2040,GLENFIELD AVE,100,Feet,S,BRUCE ST,11791996,3709634,"(37.506269, -77.434443)"
226,2.01012E+11,12/11/2010,1752,SHAFER ST,None,None,None,GRACE ST,11786881,3725499,"(37.549996, -77.451469)"
145,2.01004E+11,4/13/2010,1900,GRACE ST,None,None,None,BELVIDERE ST,11787885,3724760,"(37.547935, -77.448034)"
620,2.01407E+11,7/30/2014,1445,9TH ST,90,Feet,W,10TH ST,0,0,"(21.84882, -111.898764)"
199,2.01009E+11,9/28/2010,1927,MECHANICSVILLE TPKE,None,None,None,None,11798336,3726782,"(37.553163, -77.411907)"
270,2.01105E+11,5/28/2011,2245,NINE MILE ROAD,None,None,None,CREIGHTON ROAD,11801621,3722691,"(37.541824, -77.40074)"
436,2.01209E+11,9/14/2012,2230,COLUMBIA ST,None,None,None,OAKLAND AVE,11789009,3706194,"(37.496915, -77.444873)"
5,2.00901E+11,1/28/2009,1650,ALTAMONT AVE,None,None,None,MOORE ST,11781690,3731702,"(37.567187, -77.46914)"
694,2.01503E+11,3/2/2015,1957,CHAMBERLAYNE AVE,300,Feet,S,WATKINS ST,11787144,3743571,"(37.599617, -77.449868)"
71,2.00909E+11,9/28/2009,1730,MONUMENT AVE,None,None,None,BOULEVARD,11781089,3729272,"(37.560532, -77.471305)"
269,2.01105E+11,5/24/2011,840,MEADOWBRIDGE ROAD,None,None,None,LADIES MILE ROAD,11794967,3737153,"(37.58175, -77.42312)"
543,2.0131E+11,10/24/2013,649,GROVE AVE,None,None,None,CLARKE ROAD,11771308,3731898,"(37.568032, -77.504951)"
628,2.01408E+11,8/18/2014,1132,JEFFERSON DAVIS HWY,None,None,None,DECATUR ST,11787891,3713418,"(37.516788, -77.448449)"
160,2.01006E+11,6/1/2010,1739,PATTERSON AVE,30,Feet,W,REGESTER PKWY,11763785,3739968,"(37.590409, -77.53062)"
417,2.01206E+11,6/20/2012,1733,BROAD ST,None,None,None,HARRISON ST,11786628,3726167,"(37.551838, -77.452316)"
238,2.01101E+11,1/28/2011,1402,BELT BLVD,500,Feet,N,HULL STREET ROAD,0,0,"(21.84882, -111.898764)"
708,2.01506E+11,6/25/2015,2130,KINSLEY AVE,250,Feet,N,BROAD ROCK BLVD,11781133,3703756,"(37.490458, -77.472111)"
117,2.01001E+11,1/15/2010,1738,NINE MILE ROAD,200,Feet,N,CREIGHTON ROAD,11801621,3722691,"(37.541824, -77.40074)"
8,2.00902E+11,2/12/2009,1840,ERICH ROAD,None,None,None,WAINWRIGHT DR,11772399,3712417,"(37.5145, -77.501898)"
182,2.01008E+11,8/16/2010,1736,CANAL ST,None,None,None,7TH ST,11790326,3721008,"(37.537557, -77.43976)"
388,2.01203E+11,3/22/2012,335,JEFFERSON DAVIS HWY,None,None,None,DALE AVE,11789697,3694736,"(37.465427, -77.442944)"
502,2.01305E+11,5/29/2013,1325,POWHITE PKWY,None,None,None,CITY LIMITS - TOLL BOOTH #3,11764697,3716519,"(37.525986, -77.528306)"
392,2.01204E+11,4/8/2012,1620,1717 N 29TH ST,None,None,None,None,11801016,3722787,"(37.542107, -77.402823)"
546,2.01311E+11,11/6/2013,1646,PATTERSON AVE,None,None,None,HAMILTON ST,11776868,3730557,"(37.564186, -77.485818)"
346,2.01112E+11,12/19/2011,1744,MAIN ST,None,None,None,JEFFERSON ST,11788449,3723372,"(37.544106, -77.446142)"
441,2.0121E+11,10/5/2012,1734,MIDLOTHIAN TPKE,None,None,None,ROANOKE ST,11780316,3710971,"(37.510296, -77.474657)"
122,2.01002E+11,2/5/2010,1147,BROAD ST,None,None,None,HARRISON ST,11786628,3726167,"(37.551838, -77.452316)"
289,2.01108E+11,8/8/2011,100,MIDLOTHIAN TPKE,100,Feet,E,BEAUFONT HILLS DR,11750000,3710000,"(37.508488, -77.579203)"
30,2.00905E+11,5/5/2009,2025,KESWICK AVE,None,None,None,21ST ST,11790340,3709101,"(37.504857, -77.440173)"
455,2.01211E+11,11/17/2012,1145,MAIN ST,None,None,None,PINE ST,11787229,3723981,"(37.545816, -77.450326)"
509,2.01306E+11,6/18/2013,1037,BROAD ST,None,None,None,9TH ST,11792028,3722201,"(37.54078, -77.433844)"
368,2.01202E+11,2/4/2012,158,MAIN ST,None,None,None,BOULEVARD,11779872,3726401,"(37.552684, -77.475611)"
293,2.01108E+11,8/22/2011,2104,BELLEVUE AVE,29,Feet,E,OLD BROOK ROAD,11788037,3740695,"(37.591692, -77.446896)"
208,2.0101E+11,10/20/2010,1952,BROAD ROCK BLVD,186,Feet,E,WALMSLEY BLVD,11778057,3696324,"(37.470139, -77.482989)"
627,2.01408E+11,8/17/2014,1220,EDGEWOOD AVE,150,Feet,N,MONTROSE AVE,11790264,3731719,"(37.566973, -77.439559)"
516,2.01307E+11,7/26/2013,1608,MARSHALL ST,None,None,None,BELVIDERE ST,11788311,3725419,"(37.549732, -77.446539)"
341,2.01112E+11,12/9/2011,1658,BROAD ST,15,Feet,W,BOWE ST,11785729,3726825,"(37.553672, -77.455391)"
480,2.01302E+11,2/21/2013,1808,W SEMINARY AVE,None,None,None,WATKINS ST,11786370,3743448,"(37.599303, -77.452544)"
542,2.0131E+11,10/16/2013,1848,FOREST HILL AVE,None,None,None,WESTOVER HILLS BLVD,11776291,3714850,"(37.521068, -77.48839)"
292,2.01108E+11,8/22/2011,2059,BELLEVUE AVE,29,Feet,E,OLD BROOK ROAD,11788037,3740695,"(37.591692, -77.446896)"
453,2.01211E+11,11/10/2012,1515,CREIGHTON ROAD,340,Feet,S,WALCOTT PL,11802446,3724098,"(37.545661, -77.397838)"
538,2.0131E+11,10/11/2013,1141,LADIES MILE ROAD,10,Feet,W,MONTROSE AVE,11790249,3734683,"(37.575113, -77.439496)"
497,2.01305E+11,5/10/2013,1243,CHAMBERLAYNE PKWY,None,Feet,W,DUVAL ST,11790012,3725886,"(37.550962, -77.440654)"
249,2.01103E+11,3/14/2011,1500,1ST AVE,23,Feet,S,MAGNOLIA ST,11795432,3731363,"(37.565835, -77.421743)"
77,2.0091E+11,10/14/2009,1600,FRANKLIN ST,None,None,None,15TH ST,11793302,3720258,"(37.535405, -77.429526)"
389,2.01203E+11,3/29/2012,1317,10TH ST,None,None,None,MARSHALL ST,11792514,3722325,"(37.541106, -77.432163)"
404,2.01205E+11,5/17/2012,1138,CREIGHTON ROAD,30,Feet,N,NINE MILE ROAD,11801621,3722691,"(37.541824, -77.40074)"
245,2.01102E+11,2/28/2011,1815,MONUMENT AVE,15,Feet,W,SHEPPARD ST,11780534,3729677,"(37.561661, -77.473204)"
327,2.0111E+11,10/30/2011,156,CARY ST,15,Feet,E,GRANBY ST,11782906,3724598,"(37.547642, -77.465213)"
337,2.01111E+11,11/21/2011,1717,FAIRFIELD AVE,None,None,None,N 23RD ST,11799983,3724932,"(37.54803, -77.4063)"
167,2.01006E+11,6/25/2010,1533,ST JOHN ST,63,Feet,S,FEDERAL ST,11791176,3726509,"(37.552637, -77.436615)"
246,2.01103E+11,3/3/2011,1630,MAIN ST,None,None,None,BELVIDERE ST,11787621,3723968,"(37.545769, -77.448975)"
235,2.01101E+11,1/25/2011,1900,FOREST HILL AVE,None,None,None,GRANTWOOD ROAD,11762540,3720190,"(37.536129, -77.535614)"
323,2.0111E+11,10/27/2011,1738,HILL ST,None,None,None,2ND ST,11792490,3726716,"(37.553165, -77.432074)"
48,2.00907E+11,7/14/2009,2008,FAIRMOUNT AVE,None,None,N,19TH ST,11797202,3723302,"(37.543642, -77.415956)"
153,2.01005E+11,5/3/2010,2054,MAIN ST,261,Feet,E,26TH ST,11795983,3717769,"(37.528486, -77.420379)"
179,2.01008E+11,8/11/2010,730,PARK AVE,10,Feet,W,LIBBIE AVE,11768767,3736242,"(37.580034, -77.513561)"
676,2.01501E+11,1/6/2015,1257,11TH ST,200,Feet,N,MARSHALL ST,11792769,3722138,"(37.540584, -77.431291)"
650,2.0141E+11,10/9/2014,1720,MONTPELIER ST,None,None,None,WILLIAMSBURG ROAD,11805107,3713664,"(37.516922, -77.389084)"
90,2.00911E+11,11/10/2009,1850,MAIN ST,None,None,None,BRUNSWICK ST,11785229,3724071,"(37.546124, -77.457221)"
553,2.01312E+11,12/6/2013,1540,25TH ST,20,Feet,S,R ST,11798523,3721746,"(37.539327, -77.411462)"
648,2.0141E+11,10/4/2014,1729,FOREST HILL AVE,None,None,None,41ST ST,11779481,3713718,"(37.517865, -77.477433)"
540,2.0131E+11,10/14/2013,1427,OVERBROOK ROAD,None,None,None,CHAMBERLAYNE AVE,11788952,3731230,"(37.565671, -77.444104)"
686,2.01502E+11,2/5/2015,1531,MARSHALL ST,None,None,None,5TH ST,11791202,3723288,"(37.543791, -77.43665)"
619,2.01407E+11,7/29/2014,1500,JEFFERSON ST,None,None,None,BROAD ST,11789143,3724323,"(37.546697, -77.443712)"
257,2.01104E+11,4/4/2011,1648,SELDEN ST,200,Feet,E,23RD ST,11800014,3725521,"(37.549647, -77.406169)"
291,2.01108E+11,8/19/2011,1022,BROAD ST,None,None,None,ALLEN AVE,11784812,3727498,"(37.555548, -77.458529)"
566,2.01402E+11,2/7/2014,1228,LABURNUM AVE,None,None,None,NORTH AVE,11790297,3738201,"(37.584773, -77.439194)"
452,2.01211E+11,11/6/2012,2146,WILLIAMSBURG ROAD,None,None,None,PARKER ST,11803354,3712784,"(37.514561, -77.395163)"
662,2.01411E+11,11/7/2014,1750,W CHARITY ST,30,Feet,W,ST PETER ST,11790409,3726414,"(37.5524, -77.439264)"
25,2.00904E+11,4/25/2009,1820,HULL ST,775,Feet,W,WARWICK ROAD,0,0,"(21.84882, -111.898764)"
596,2.01404E+11,4/28/2014,2205,HANOVER AVE,5,Feet,W,LOMBARDY ST,11784678,3725770,"(37.550807, -77.459057)"
49,2.00907E+11,7/17/2009,535,1420 HULL ST,None,None,None,None,11788512,3714375,"(37.519397, -77.446271)"
274,2.01107E+11,7/1/2011,1450,BELT BLVD,400,Feet,E,OLD MIDLOTHIAN TPKE,11776896,3710178,"(37.50822, -77.486477)"
610,2.01406E+11,6/17/2014,1510,GRACE ST,None,None,None,RYLAND ST,11785970,3726169,"(37.551863, -77.454585)"
163,2.01006E+11,6/11/2010,2100,1500 VALLEY ROAD,None,None,None,None,11793865,3727326,"(37.554797, -77.427307)"
95,2.00911E+11,11/16/2009,1204,MOSBY ST,None,None,None,Q ST,11796462,3722861,"(37.542454, -77.418526)"
134,2.01003E+11,3/17/2010,1911,ROSECREST AVE,100,Feet,N,HARWOOD ST,11792424,3708851,"(37.504106, -77.432998)"
64,2.00909E+11,9/17/2009,1249,BROAD ST,None,None,None,3RD ST,11790450,3723364,"(37.544023, -77.439241)"
550,2.01311E+11,11/27/2013,641,PENSACOLA AVE,None,None,None,MEADOWBRIDGE ROAD,11794967,3737153,"(37.58175, -77.42312)"
571,2.01402E+11,2/17/2014,1735,MONROE ST,5,Feet,S,GRACE ST,11788409,3724374,"(37.546859, -77.446241)"
539,2.0131E+11,10/11/2013,1527,3RD ST,65,Feet,S,FRANKLIN ST,11789978,3722731,"(37.542299, -77.440893)"
333,2.01111E+11,11/11/2011,830,CREIGHTON ROAD,300,Feet,S,WALCOTT PL,11802446,3724098,"(37.545661, -77.397838)"
450,2.01211E+11,11/2/2012,1727,FOREST HILL AVE,None,None,None,PINEWAY DR,11771382,3718333,"(37.530777, -77.505189)"
427,2.01208E+11,8/10/2012,1025,STUART AVE,None,None,None,THOMPSON ST,11777007,3729590,"(37.561527, -77.485375)"
451,2.01211E+11,11/3/2012,119,ROBINSON ST,None,None,None,STUART AVE,11781259,3727745,"(37.556334, -77.470776)"
660,2.01411E+11,11/5/2014,1056,BROAD ST,None,None,None,HARRISON ST,11786628,3726167,"(37.551838, -77.452316)"
121,2.01002E+11,2/2/2010,1215,BELT BLVD,None,None,None,TERMINAL AVE,11783801,3700581,"(37.481658, -77.463036)"
28,2.00905E+11,5/5/2009,1338,1ST ST,None,None,None,LEIGH ST,11790696,3724806,"(37.547975, -77.438337)"
288,2.01108E+11,8/7/2011,2011,DARBYTOWN ROAD,50,Feet,W,BLUE RIDGE AVE,11803645,3712196,"(37.512937, -77.394183)"
584,2.01403E+11,3/15/2014,213,HULL ST,None,None,None,2ND ST,11791428,3716812,"(37.525999, -77.436123)"
442,2.0121E+11,10/9/2012,1125,BROOKLAND PARK BLVD,None,None,None,WELLINGTON ST,11794202,3733237,"(37.57102, -77.425913)"
523,2.01308E+11,8/28/2013,1636,ROSECREST AVE,20,Feet,N,HARWOOD ST,11792424,3708851,"(37.504106, -77.432998)"
112,2.00912E+11,12/23/2009,1339,BROAD ST,None,None,S,3RD ST,11790450,3723364,"(37.544023, -77.439241)"
336,2.01111E+11,11/19/2011,1905,CAMPUS DR,None,None,None,BOATWRIGHT DR,11762459,3736921,"(37.582078, -77.535304)"
378,2.01202E+11,2/28/2012,1648,ST JOHN ST,138,Feet,S,HILL ST,11791547,3727031,"(37.554059, -77.435315)"
463,2.01212E+11,12/18/2012,1705,BROAD ST,50,Feet,E,2ND ST,11790184,3723559,"(37.544567, -77.440151)"
168,2.01006E+11,6/28/2010,827,CLAY ST,None,None,None,7TH ST,0,0,"(21.84882, -111.898764)"
83,2.0091E+11,10/27/2009,815,SEMMES AVE,None,None,None,26TH ST,11784540,3714428,"(37.519663, -77.459964)"
477,2.01302E+11,2/13/2013,1630,LOMBARDY ST,None,None,None,LEIGH ST,11786270,3728043,"(37.557001, -77.453479)"
325,2.0111E+11,10/28/2011,2159,5TH ST,200,Feet,S,BROAD ST,11790972,3722978,"(37.542947, -77.437456)"
360,2.01201E+11,1/18/2012,1010,22ND ST,150,Feet,S,DINWIDDIE AVE,11788453,3710814,"(37.509619, -77.446612)"
607,2.01405E+11,5/19/2014,1622,MAIN ST,None,None,None,BELVIDERE ST,11787621,3723968,"(37.545769, -77.448975)"
73,2.00909E+11,9/30/2009,805,14TH ST,None,None,None,FRANKLIN ST,11792788,3720546,"(37.536212, -77.431287)"
276,2.01107E+11,7/6/2011,1448,WESTOWER DR,5,Feet,E,HUNTLAND ROAD,11770328,3715712,"(37.523609, -77.508919)"
420,2.01206E+11,6/29/2012,131,23RD ST,None,None,None,PHAUP ST,11800139,3725825,"(37.550478, -77.405726)"
491,2.01304E+11,4/8/2013,2230,JAHNKE ROAD,None,Feet,N,NEWELL ROAD,11770277,3714438,"(37.520112, -77.509141)"
102,2.00911E+11,11/30/2009,1520,GROVE AVE,50,Feet,E,HARRISON ST,11785779,3724947,"(37.548513, -77.455291)"
312,2.0111E+11,10/6/2011,2200,OLD HOPKINS ROAD,200,Feet,N,HOPKINS ROAD,11783289,3693584,"(37.462458, -77.465065)"
440,2.0121E+11,10/3/2012,1320,CHAMBERLAYNE AVE,None,None,None,SCHOOL ST,11789438,3728944,"(37.559378, -77.442516)"
430,2.01208E+11,8/25/2012,2129,CARY ST,None,None,None,LAUREL ST,11786865,3723495,"(37.544493, -77.4516)"
379,2.01203E+11,3/2/2012,1510,DOCK ST,10,Feet,W,15TH ST,11792596,3719343,"(37.532914, -77.431996)"
67,2.00909E+11,9/22/2009,1612,18TH ST,None,None,None,BROAD ST,11794571,3720309,"(37.535505, -77.425148)"
271,2.01105E+11,5/30/2011,210,18TH ST,30,Feet,N,MAIN ST,11793858,3719355,"(37.532908, -77.427644)"
301,2.01109E+11,9/9/2011,1744,700 W CLAY ST,None,None,None,None,11788478,3725830,"(37.550856, -77.445947)"
603,2.01405E+11,5/16/2014,1305,CREIGHTON ROAD,25,Feet,S,NINE MILE ROAD,11801621,3722691,"(37.541824, -77.40074)"
211,2.0101E+11,10/31/2010,1315,MECHANICSVILLE TPKE,100,Feet,S,WHITCOMB ST,11798426,3726936,"(37.553583, -77.41159)"
141,2.01003E+11,3/24/2010,2036,729 W CARY ST,None,None,None,None,11786929,3723455,"(37.544381, -77.451381)"
661,2.01411E+11,11/5/2014,1425,4TH ST,None,None,None,BROAD ST,11790710,3723171,"(37.543485, -77.438352)"
330,2.01111E+11,11/8/2011,1607,SCHOOL ST,None,None,None,CHAMBERLAYNE AVE,11789438,3728944,"(37.559378, -77.442516)"
300,2.01109E+11,9/9/2011,823,8TH ST,75,Feet,N,LEIGH ST,11792521,3723427,"(37.544132, -77.432096)"
649,2.0141E+11,10/9/2014,1559,MECHANICSVILLE TPKE,0,Miles,W,WHITCOMB ST,11798426,3726936,"(37.553583, -77.41159)"
31,2.00905E+11,5/6/2009,1630,ST PAUL ST,50,Feet,N,W CHARITY ST,11790670,3726342,"(37.552194, -77.438367)"
171,2.01007E+11,7/6/2010,2102,3RD ST,None,None,None,BROAD ST,11790450,3723364,"(37.544023, -77.439241)"
284,2.01107E+11,7/29/2011,1109,BROAD ST,98,Feet,W,RYLAND ST,11786200,3726480,"(37.55271, -77.45378)"
522,2.01308E+11,8/26/2013,2045,MOSS SIDE AVE,None,None,None,NORTH AVE,11789367,3738851,"(37.586587, -77.442378)"
513,2.01307E+11,7/14/2013,2205,OAKLAND AVE,500,Feet,E,COLUMBIA ST,11789009,3706194,"(37.496915, -77.444873)"
630,2.01408E+11,8/25/2014,520,HERMITAGE ROAD,10,Feet,E,BRYAN PARK AVE,11782235,3743234,"(37.59884, -77.466824)"
50,2.00907E+11,7/17/2009,1226,3RD ST,None,None,None,GRACE ST,11790210,3723048,"(37.543163, -77.440081)"
702,2.01504E+11,4/11/2015,2000,MIDLOTHIAN TPKE,500,Feet,W,WEAVER CT,11779286,3710737,"(37.509684, -77.478217)"
